,batchno,day,dish,fname,Mean82,FLAG
46,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00092_CH4.tif,20.5,0
47,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00107_CH4.tif,20.5,0
48,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00117_CH4.tif,20.5,0
49,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00090_CH4.tif,20.5,0
50,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00133_CH4.tif,20.5,0
51,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00148_CH4.tif,20.5,0
52,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00105_CH4.tif,20.5,0
53,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00104_CH4.tif,20.5,0
54,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00091_CH4.tif,20.5,0
55,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00132_CH4.tif,20.5,0
56,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00108_CH4.tif,20.5,0
57,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00118_CH4.tif,20.5,0
58,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00119_CH4.tif,20.5,0
59,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00136_CH4.tif,20.5,0
60,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00134_CH4.tif,20.5,0
61,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00146_CH4.tif,20.5,0
62,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00135_CH4.tif,20.5,0
63,#11,20,/Day20/#11/#11_1A,../data/x4///Day20/#11/#11_1A/1_XY02_00147_CH4.tif,20.5,0
64,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00147_CH4.tif,15.9,0
65,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00135_CH4.tif,15.9,0
66,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00146_CH4.tif,15.9,0
67,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00134_CH4.tif,15.9,0
68,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00136_CH4.tif,15.9,0
69,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00119_CH4.tif,15.9,0
70,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00108_CH4.tif,15.9,0
71,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00118_CH4.tif,15.9,0
72,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00104_CH4.tif,15.9,0
73,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00132_CH4.tif,15.9,0
74,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00091_CH4.tif,15.9,0
75,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00133_CH4.tif,15.9,0
76,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00090_CH4.tif,15.9,0
77,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00105_CH4.tif,15.9,0
78,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00148_CH4.tif,15.9,0
79,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00092_CH4.tif,15.9,0
80,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00121_CH4.tif,15.9,0
81,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00107_CH4.tif,15.9,0
82,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00117_CH4.tif,15.9,0
83,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00106_CH4.tif,15.9,0
84,#11,20,/Day20/#11/#11_2A,../data/x4///Day20/#11/#11_2A/1_XY03_00120_CH4.tif,15.9,0
85,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00146_CH4.tif,18.7,0
86,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00134_CH4.tif,18.7,0
87,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00147_CH4.tif,18.7,0
88,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00135_CH4.tif,18.7,0
89,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00108_CH4.tif,18.7,0
90,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00118_CH4.tif,18.7,0
91,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00119_CH4.tif,18.7,0
92,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00136_CH4.tif,18.7,0
93,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00148_CH4.tif,18.7,0
94,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00105_CH4.tif,18.7,0
95,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00133_CH4.tif,18.7,0
96,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00090_CH4.tif,18.7,0
97,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00132_CH4.tif,18.7,0
98,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00091_CH4.tif,18.7,0
99,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00104_CH4.tif,18.7,0
100,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00120_CH4.tif,18.7,0
101,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00106_CH4.tif,18.7,0
102,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00107_CH4.tif,18.7,0
103,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00117_CH4.tif,18.7,0
104,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00092_CH4.tif,18.7,0
105,#11,20,/Day20/#11/#11_0.5B,../data/x4///Day20/#11/#11_0.5B/1_XY04_00121_CH4.tif,18.7,0
106,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00138_CH4.tif,22.8,0
107,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00122_CH4.tif,22.8,0
108,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00098_CH4.tif,22.8,0
109,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00099_CH4.tif,22.8,0
110,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00123_CH4.tif,22.8,0
111,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00085_CH4.tif,22.8,0
112,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00126_CH4.tif,22.8,0
113,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00136_CH4.tif,22.8,0
114,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00109_CH4.tif,22.8,0
115,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00100_CH4.tif,22.8,0
116,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00110_CH4.tif,22.8,0
117,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00111_CH4.tif,22.8,0
118,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00084_CH4.tif,22.8,0
119,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00137_CH4.tif,22.8,0
120,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00113_CH4.tif,22.8,0
121,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00125_CH4.tif,22.8,0
122,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00086_CH4.tif,22.8,0
123,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00096_CH4.tif,22.8,0
124,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00124_CH4.tif,22.8,0
125,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00097_CH4.tif,22.8,0
126,#11,20,/Day20/#11/#11_1B,../data/x4///Day20/#11/#11_1B/1_XY05_00112_CH4.tif,22.8,0
127,#11,20,/Day20/#11/#11_2B,../data/x4///Day20/#11/#11_2B/1_XY06_00148_CH4.tif,13.8,0
128,#11,20,/Day20/#11/#11_2B,../data/x4///Day20/#11/#11_2B/1_XY06_00132_CH4.tif,13.8,0
129,#11,20,/Day20/#11/#11_2B,../data/x4///Day20/#11/#11_2B/1_XY06_00136_CH4.tif,13.8,0
130,#11,20,/Day20/#11/#11_2B,../data/x4///Day20/#11/#11_2B/1_XY06_00146_CH4.tif,13.8,0
131,#11,20,/Day20/#11/#11_2B,../data/x4///Day20/#11/#11_2B/1_XY06_00135_CH4.tif,13.8,0
132,#11,20,/Day20/#11/#11_2B,../data/x4///Day20/#11/#11_2B/1_XY06_00147_CH4.tif,13.8,0
133,#8,14,/Day14/#8/#8_0.5B,../data/x4///Day14/#8/#8_0.5B/1_XY04_00146_CH4.tif,8.4,1
134,#8,14,/Day14/#8/#8_0.5B,../data/x4///Day14/#8/#8_0.5B/1_XY04_00147_CH4.tif,8.4,1
135,#8,14,/Day14/#8/#8_0.5B,../data/x4///Day14/#8/#8_0.5B/1_XY04_00135_CH4.tif,8.4,1
136,#8,14,/Day14/#8/#8_0.5B,../data/x4///Day14/#8/#8_0.5B/1_XY04_00136_CH4.tif,8.4,1
137,#8,14,/Day14/#8/#8_0.5B,../data/x4///Day14/#8/#8_0.5B/1_XY04_00148_CH4.tif,8.4,1
138,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00138_CH4.tif,11.6,0
139,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00122_CH4.tif,11.6,0
140,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00098_CH4.tif,11.6,0
141,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00099_CH4.tif,11.6,0
142,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00123_CH4.tif,11.6,0
143,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00085_CH4.tif,11.6,0
144,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00126_CH4.tif,11.6,0
145,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00136_CH4.tif,11.6,0
146,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00109_CH4.tif,11.6,0
147,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00100_CH4.tif,11.6,0
148,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00110_CH4.tif,11.6,0
149,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00111_CH4.tif,11.6,0
150,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00084_CH4.tif,11.6,0
151,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00137_CH4.tif,11.6,0
152,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00113_CH4.tif,11.6,0
153,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00125_CH4.tif,11.6,0
154,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00086_CH4.tif,11.6,0
155,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00096_CH4.tif,11.6,0
156,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00124_CH4.tif,11.6,0
157,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00097_CH4.tif,11.6,0
158,#8,14,/Day14/#8/#8_1B,../data/x4///Day14/#8/#8_1B/1_XY05_00112_CH4.tif,11.6,0
159,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00106_CH4.tif,11.2,0
160,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00120_CH4.tif,11.2,0
161,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00121_CH4.tif,11.2,0
162,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00092_CH4.tif,11.2,0
163,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00107_CH4.tif,11.2,0
164,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00117_CH4.tif,11.2,0
165,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00090_CH4.tif,11.2,0
166,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00133_CH4.tif,11.2,0
167,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00105_CH4.tif,11.2,0
168,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00148_CH4.tif,11.2,0
169,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00104_CH4.tif,11.2,0
170,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00091_CH4.tif,11.2,0
171,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00132_CH4.tif,11.2,0
172,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00108_CH4.tif,11.2,0
173,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00118_CH4.tif,11.2,0
174,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00136_CH4.tif,11.2,0
175,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00119_CH4.tif,11.2,0
176,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00134_CH4.tif,11.2,0
177,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00146_CH4.tif,11.2,0
178,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00135_CH4.tif,11.2,0
179,#8,14,/Day14/#8/#8_2B,../data/x4///Day14/#8/#8_2B/1_XY06_00147_CH4.tif,11.2,0
180,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00106_CH4.tif,9.7,1
181,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00120_CH4.tif,9.7,1
182,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00121_CH4.tif,9.7,1
183,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00092_CH4.tif,9.7,1
184,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00107_CH4.tif,9.7,1
185,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00117_CH4.tif,9.7,1
186,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00090_CH4.tif,9.7,1
187,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00133_CH4.tif,9.7,1
188,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00148_CH4.tif,9.7,1
189,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00105_CH4.tif,9.7,1
190,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00104_CH4.tif,9.7,1
191,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00091_CH4.tif,9.7,1
192,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00132_CH4.tif,9.7,1
193,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00108_CH4.tif,9.7,1
194,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00118_CH4.tif,9.7,1
195,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00119_CH4.tif,9.7,1
196,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00136_CH4.tif,9.7,1
197,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00134_CH4.tif,9.7,1
198,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00146_CH4.tif,9.7,1
199,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00135_CH4.tif,9.7,1
200,#9,14,/Day14/#9/#9_1A,../data/x4///Day14/#9/#9_1A/1_XY02_00147_CH4.tif,9.7,1
201,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00147_CH4.tif,26.7,0
202,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00135_CH4.tif,26.7,0
203,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00146_CH4.tif,26.7,0
204,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00134_CH4.tif,26.7,0
205,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00136_CH4.tif,26.7,0
206,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00119_CH4.tif,26.7,0
207,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00108_CH4.tif,26.7,0
208,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00118_CH4.tif,26.7,0
209,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00104_CH4.tif,26.7,0
210,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00132_CH4.tif,26.7,0
211,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00091_CH4.tif,26.7,0
212,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00133_CH4.tif,26.7,0
213,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00090_CH4.tif,26.7,0
214,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00105_CH4.tif,26.7,0
215,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00148_CH4.tif,26.7,0
216,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00092_CH4.tif,26.7,0
217,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00121_CH4.tif,26.7,0
218,#9,14,/Day14/#9/#9_2A,../data/x4///Day14/#9/#9_2A/1_XY03_00107_CH4.tif,26.7,0
