実験番号id,撮影日付,ラウンド数,培養開始後経過日数(Day xx),撮影方法,撮影機器名,x 倍率,固定の有無,フォルダ名,Day82 Myf5,FLAG
62,2021/04/12,#11,38,phase,KEYence 第四世代,4,無,/Day38/#11/#11_1B,22.8,0
63,2021/04/12,#11,38,phase,KEYence 第四世代,4,無,/Day38/#11/#11_2B,13.8,0
64,2021/04/19,#12,38,phase,KEYence 第四世代,4,無,/Day38/#12/#12_0.5A,23.6,0
65,2021/04/19,#12,38,phase,KEYence 第四世代,4,無,/Day38/#12/#12_1A,18.2,0
66,2021/04/19,#12,38,phase,KEYence 第四世代,4,無,/Day38/#12/#12_2A,8.1,1
67,2021/04/19,#12,38,phase,KEYence 第四世代,4,無,/Day38/#12/#12_0.5B,31,0
68,2021/04/19,#12,38,phase,KEYence 第四世代,4,無,/Day38/#12/#12_1B,28,0
69,2021/04/19,#12,38,phase,KEYence 第四世代,4,無,/Day38/#12/#12_2B,7.9,1
40,2021/03/22,#8,34,phase,KEYence 第四世代,4,無,/Day34/#8/#8_0.5A,9,1
41,2021/03/22,#8,34,phase,KEYence 第四世代,4,無,/Day34/#8/#8_1A,5.9,1
42,2021/03/22,#8,34,phase,KEYence 第四世代,4,無,/Day34/#8/#8_2A,13,0
43,2021/03/22,#8,34,phase,KEYence 第四世代,4,無,/Day34/#8/#8_0.5B,8.4,1
44,2021/03/22,#8,34,phase,KEYence 第四世代,4,無,/Day34/#8/#8_1B,11.6,0
45,2021/03/22,#8,34,phase,KEYence 第四世代,4,無,/Day34/#8/#8_2B,11.2,0
47,2021/03/29,#9,34,phase,KEYence 第四世代,4,無,/Day34/#9/#9_1A,9.7,1
48,2021/03/29,#9,34,phase,KEYence 第四世代,4,無,/Day34/#9/#9_2A,26.7,0
50,2021/03/29,#9,34,phase,KEYence 第四世代,4,無,/Day34/#9/#9_1B,14.7,0
51,2021/03/29,#9,34,phase,KEYence 第四世代,4,無,/Day34/#9/#9_2B,17.2,0
52,2021/04/05,#10,34,phase,KEYence 第四世代,4,無,/Day34/#10/#10_0.5A,14.8,0
53,2021/04/05,#10,34,phase,KEYence 第四世代,4,無,/Day34/#10/#10_1A,22.7,0
54,2021/04/05,#10,34,phase,KEYence 第四世代,4,無,/Day34/#10/#10_2A,12.5,0
55,2021/04/05,#10,34,phase,KEYence 第四世代,4,無,/Day34/#10/#10_0.5B,25.3,0
56,2021/04/05,#10,34,phase,KEYence 第四世代,4,無,/Day34/#10/#10_1B,23.6,0
57,2021/04/05,#10,34,phase,KEYence 第四世代,4,無,/Day34/#10/#10_2B,17.9,0
58,2021/04/12,#11,34,phase,KEYence 第四世代,4,無,/Day34/#11/#11_0.5A,12,0
59,2021/04/12,#11,34,phase,KEYence 第四世代,4,無,/Day34/#11/#11_1A,20.5,0
60,2021/04/12,#11,34,phase,KEYence 第四世代,4,無,/Day34/#11/#11_2A,15.9,0
61,2021/04/12,#11,34,phase,KEYence 第四世代,4,無,/Day34/#11/#11_0.5B,18.7,0
62,2021/04/12,#11,34,phase,KEYence 第四世代,4,無,/Day34/#11/#11_1B,22.8,0
63,2021/04/12,#11,34,phase,KEYence 第四世代,4,無,/Day34/#11/#11_2B,13.8,0
64,2021/04/19,#12,34,phase,KEYence 第四世代,4,無,/Day34/#12/#12_0.5A,23.6,0
65,2021/04/19,#12,34,phase,KEYence 第四世代,4,無,/Day34/#12/#12_1A,18.2,0
66,2021/04/19,#12,34,phase,KEYence 第四世代,4,無,/Day34/#12/#12_2A,8.1,1
67,2021/04/19,#12,34,phase,KEYence 第四世代,4,無,/Day34/#12/#12_0.5B,31,0
68,2021/04/19,#12,34,phase,KEYence 第四世代,4,無,/Day34/#12/#12_1B,28,0
69,2021/04/19,#12,34,phase,KEYence 第四世代,4,無,/Day34/#12/#12_2B,7.9,1
40,2021/03/22,#8,31,phase,KEYence 第四世代,4,無,/Day31/#8/#8_0.5A,9,1
41,2021/03/22,#8,31,phase,KEYence 第四世代,4,無,/Day31/#8/#8_1A,5.9,1
42,2021/03/22,#8,31,phase,KEYence 第四世代,4,無,/Day31/#8/#8_2A,13,0
43,2021/03/22,#8,31,phase,KEYence 第四世代,4,無,/Day31/#8/#8_0.5B,8.4,1
44,2021/03/22,#8,31,phase,KEYence 第四世代,4,無,/Day31/#8/#8_1B,11.6,0
45,2021/03/22,#8,31,phase,KEYence 第四世代,4,無,/Day31/#8/#8_2B,11.2,0
47,2021/03/29,#9,31,phase,KEYence 第四世代,4,無,/Day31/#9/#9_1A,9.7,1
48,2021/03/29,#9,31,phase,KEYence 第四世代,4,無,/Day31/#9/#9_2A,26.7,0
50,2021/03/29,#9,31,phase,KEYence 第四世代,4,無,/Day31/#9/#9_1B,14.7,0
51,2021/03/29,#9,31,phase,KEYence 第四世代,4,無,/Day31/#9/#9_2B,17.2,0
52,2021/04/05,#10,31,phase,KEYence 第四世代,4,無,/Day31/#10/#10_0.5A,14.8,0
53,2021/04/05,#10,31,phase,KEYence 第四世代,4,無,/Day31/#10/#10_1A,22.7,0
54,2021/04/05,#10,31,phase,KEYence 第四世代,4,無,/Day31/#10/#10_2A,12.5,0
55,2021/04/05,#10,31,phase,KEYence 第四世代,4,無,/Day31/#10/#10_0.5B,25.3,0
56,2021/04/05,#10,31,phase,KEYence 第四世代,4,無,/Day31/#10/#10_1B,23.6,0
57,2021/04/05,#10,31,phase,KEYence 第四世代,4,無,/Day31/#10/#10_2B,17.9,0
58,2021/04/12,#11,31,phase,KEYence 第四世代,4,無,/Day31/#11/#11_0.5A,12,0
59,2021/04/12,#11,31,phase,KEYence 第四世代,4,無,/Day31/#11/#11_1A,20.5,0
60,2021/04/12,#11,31,phase,KEYence 第四世代,4,無,/Day31/#11/#11_2A,15.9,0
61,2021/04/12,#11,31,phase,KEYence 第四世代,4,無,/Day31/#11/#11_0.5B,18.7,0
62,2021/04/12,#11,31,phase,KEYence 第四世代,4,無,/Day31/#11/#11_1B,22.8,0
63,2021/04/12,#11,31,phase,KEYence 第四世代,4,無,/Day31/#11/#11_2B,13.8,0
64,2021/04/19,#12,31,phase,KEYence 第四世代,4,無,/Day31/#12/#12_0.5A,23.6,0
65,2021/04/19,#12,31,phase,KEYence 第四世代,4,無,/Day31/#12/#12_1A,18.2,0
66,2021/04/19,#12,31,phase,KEYence 第四世代,4,無,/Day31/#12/#12_2A,8.1,1
67,2021/04/19,#12,31,phase,KEYence 第四世代,4,無,/Day31/#12/#12_0.5B,31,0
68,2021/04/19,#12,31,phase,KEYence 第四世代,4,無,/Day31/#12/#12_1B,28,0
69,2021/04/19,#12,31,phase,KEYence 第四世代,4,無,/Day31/#12/#12_2B,7.9,1
40,2021/03/22,#8,27,phase,KEYence 第四世代,4,無,/Day27/#8/#8_0.5A,9,1
41,2021/03/22,#8,27,phase,KEYence 第四世代,4,無,/Day27/#8/#8_1A,5.9,1
42,2021/03/22,#8,27,phase,KEYence 第四世代,4,無,/Day27/#8/#8_2A,13,0
43,2021/03/22,#8,27,phase,KEYence 第四世代,4,無,/Day27/#8/#8_0.5B,8.4,1
44,2021/03/22,#8,27,phase,KEYence 第四世代,4,無,/Day27/#8/#8_1B,11.6,0
45,2021/03/22,#8,27,phase,KEYence 第四世代,4,無,/Day27/#8/#8_2B,11.2,0
47,2021/03/29,#9,27,phase,KEYence 第四世代,4,無,/Day27/#9/#9_1A,9.7,1
48,2021/03/29,#9,27,phase,KEYence 第四世代,4,無,/Day27/#9/#9_2A,26.7,0
50,2021/03/29,#9,27,phase,KEYence 第四世代,4,無,/Day27/#9/#9_1B,14.7,0
51,2021/03/29,#9,27,phase,KEYence 第四世代,4,無,/Day27/#9/#9_2B,17.2,0
52,2021/04/05,#10,27,phase,KEYence 第四世代,4,無,/Day27/#10/#10_0.5A,14.8,0
53,2021/04/05,#10,27,phase,KEYence 第四世代,4,無,/Day27/#10/#10_1A,22.7,0
54,2021/04/05,#10,27,phase,KEYence 第四世代,4,無,/Day27/#10/#10_2A,12.5,0
55,2021/04/05,#10,27,phase,KEYence 第四世代,4,無,/Day27/#10/#10_0.5B,25.3,0
56,2021/04/05,#10,27,phase,KEYence 第四世代,4,無,/Day27/#10/#10_1B,23.6,0
57,2021/04/05,#10,27,phase,KEYence 第四世代,4,無,/Day27/#10/#10_2B,17.9,0
58,2021/04/12,#11,27,phase,KEYence 第四世代,4,無,/Day27/#11/#11_0.5A,12,0
59,2021/04/12,#11,27,phase,KEYence 第四世代,4,無,/Day27/#11/#11_1A,20.5,0
60,2021/04/12,#11,27,phase,KEYence 第四世代,4,無,/Day27/#11/#11_2A,15.9,0
61,2021/04/12,#11,27,phase,KEYence 第四世代,4,無,/Day27/#11/#11_0.5B,18.7,0
62,2021/04/12,#11,27,phase,KEYence 第四世代,4,無,/Day27/#11/#11_1B,22.8,0
63,2021/04/12,#11,27,phase,KEYence 第四世代,4,無,/Day27/#11/#11_2B,13.8,0
64,2021/04/19,#12,27,phase,KEYence 第四世代,4,無,/Day27/#12/#12_0.5A,23.6,0
65,2021/04/19,#12,27,phase,KEYence 第四世代,4,無,/Day27/#12/#12_1A,18.2,0
66,2021/04/19,#12,27,phase,KEYence 第四世代,4,無,/Day27/#12/#12_2A,8.1,1
67,2021/04/19,#12,27,phase,KEYence 第四世代,4,無,/Day27/#12/#12_0.5B,31,0
68,2021/04/19,#12,27,phase,KEYence 第四世代,4,無,/Day27/#12/#12_1B,28,0
69,2021/04/19,#12,27,phase,KEYence 第四世代,4,無,/Day27/#12/#12_2B,7.9,1
70,2021/08/16,#13,38,phase,KEYence 第四世代,4,無,/Day38/#13/#13_0.3-0.5,12.1,0
71,2021/08/16,#13,38,phase,KEYence 第四世代,4,無,/Day38/#13/#13_0.3-1,17,0
72,2021/08/16,#13,38,phase,KEYence 第四世代,4,無,/Day38/#13/#13_0.3-2,8.3,1
73,2021/08/16,#13,38,phase,KEYence 第四世代,4,無,/Day38/#13/#13_0.5-0.5,4.2,1
74,2021/08/16,#13,38,phase,KEYence 第四世代,4,無,/Day38/#13/#13_0.5-1,18.3,0
75,2021/08/16,#13,38,phase,KEYence 第四世代,4,無,/Day38/#13/#13_0.5-2,18.5,0
70,2021/08/12,#13,34,phase,KEYence 第四世代,4,無,/Day34/#13/#13_0.3-0.5,12.1,0
71,2021/08/12,#13,34,phase,KEYence 第四世代,4,無,/Day34/#13/#13_0.3-1,17,0
72,2021/08/12,#13,34,phase,KEYence 第四世代,4,無,/Day34/#13/#13_0.3-2,8.3,1
73,2021/08/12,#13,34,phase,KEYence 第四世代,4,無,/Day34/#13/#13_0.5-0.5,4.2,1
74,2021/08/12,#13,34,phase,KEYence 第四世代,4,無,/Day34/#13/#13_0.5-1,18.3,0
75,2021/08/12,#13,34,phase,KEYence 第四世代,4,無,/Day34/#13/#13_0.5-2,18.5,0
70,2021/08/09,#13,31,phase,KEYence 第四世代,4,無,/Day31/#13/#13_0.3-0.5,12.1,0
71,2021/08/09,#13,31,phase,KEYence 第四世代,4,無,/Day31/#13/#13_0.3-1,17,0
72,2021/08/09,#13,31,phase,KEYence 第四世代,4,無,/Day31/#13/#13_0.3-2,8.3,1
73,2021/08/09,#13,31,phase,KEYence 第四世代,4,無,/Day31/#13/#13_0.5-0.5,4.2,1
74,2021/08/09,#13,31,phase,KEYence 第四世代,4,無,/Day31/#13/#13_0.5-1,18.3,0
75,2021/08/09,#13,31,phase,KEYence 第四世代,4,無,/Day31/#13/#13_0.5-2,18.5,0
70,2021/08/05,#13,27,phase,KEYence 第四世代,4,無,/Day27/#13/#13_0.3-0.5,12.1,0
71,2021/08/05,#13,27,phase,KEYence 第四世代,4,無,/Day27/#13/#13_0.3-1,17,0
72,2021/08/05,#13,27,phase,KEYence 第四世代,4,無,/Day27/#13/#13_0.3-2,8.3,1
73,2021/08/05,#13,27,phase,KEYence 第四世代,4,無,/Day27/#13/#13_0.5-0.5,4.2,1
74,2021/08/05,#13,27,phase,KEYence 第四世代,4,無,/Day27/#13/#13_0.5-1,18.3,0
75,2021/08/05,#13,27,phase,KEYence 第四世代,4,無,/Day27/#13/#13_0.5-2,18.5,0
40,2021/03/01,#8,17,phase,KEYence 第四世代,4,無,/Day17/#8/#8_0.5A,9,1
41,2021/03/01,#8,17,phase,KEYence 第四世代,4,無,/Day17/#8/#8_1A,5.9,1
42,2021/03/01,#8,17,phase,KEYence 第四世代,4,無,/Day17/#8/#8_2A,13,0
43,2021/03/01,#8,17,phase,KEYence 第四世代,4,無,/Day17/#8/#8_0.5B,8.4,1
44,2021/03/01,#8,17,phase,KEYence 第四世代,4,無,/Day17/#8/#8_1B,11.6,0
45,2021/03/01,#8,17,phase,KEYence 第四世代,4,無,/Day17/#8/#8_2B,11.2,0
47,2021/03/08,#9,17,phase,KEYence 第四世代,4,無,/Day17/#9/#9_1A,9.7,1
48,2021/03/08,#9,17,phase,KEYence 第四世代,4,無,/Day17/#9/#9_2A,26.7,0
50,2021/03/08,#9,17,phase,KEYence 第四世代,4,無,/Day17/#9/#9_1B,14.7,0
51,2021/03/08,#9,17,phase,KEYence 第四世代,4,無,/Day17/#9/#9_2B,17.2,0
52,2021/03/15,#10,17,phase,KEYence 第四世代,4,無,/Day17/#10/#10_0.5A,14.8,0
53,2021/03/15,#10,17,phase,KEYence 第四世代,4,無,/Day17/#10/#10_1A,22.7,0
54,2021/03/15,#10,17,phase,KEYence 第四世代,4,無,/Day17/#10/#10_2A,12.5,0
55,2021/03/15,#10,17,phase,KEYence 第四世代,4,無,/Day17/#10/#10_0.5B,25.3,0
56,2021/03/15,#10,17,phase,KEYence 第四世代,4,無,/Day17/#10/#10_1B,23.6,0
57,2021/03/15,#10,17,phase,KEYence 第四世代,4,無,/Day17/#10/#10_2B,17.9,0
58,2021/03/22,#11,17,phase,KEYence 第四世代,4,無,/Day17/#11/#11_0.5A,12,0
59,2021/03/22,#11,17,phase,KEYence 第四世代,4,無,/Day17/#11/#11_1A,20.5,0
60,2021/03/22,#11,17,phase,KEYence 第四世代,4,無,/Day17/#11/#11_2A,15.9,0
61,2021/03/22,#11,17,phase,KEYence 第四世代,4,無,/Day17/#11/#11_0.5B,18.7,0
62,2021/03/22,#11,17,phase,KEYence 第四世代,4,無,/Day17/#11/#11_1B,22.8,0
63,2021/03/22,#11,17,phase,KEYence 第四世代,4,無,/Day17/#11/#11_2B,13.8,0
64,2021/03/29,#12,17,phase,KEYence 第四世代,4,無,/Day17/#12/#12_0.5A,23.6,0
65,2021/03/29,#12,17,phase,KEYence 第四世代,4,無,/Day17/#12/#12_1A,18.2,0
66,2021/03/29,#12,17,phase,KEYence 第四世代,4,無,/Day17/#12/#12_2A,8.1,1
67,2021/03/29,#12,17,phase,KEYence 第四世代,4,無,/Day17/#12/#12_0.5B,31,0
68,2021/03/29,#12,17,phase,KEYence 第四世代,4,無,/Day17/#12/#12_1B,28,0
69,2021/03/29,#12,17,phase,KEYence 第四世代,4,無,/Day17/#12/#12_2B,7.9,1
70,2021/07/26,#13,17,phase,KEYence 第四世代,4,無,/Day17/#13/#13_0.3-0.5,12.1,0
71,2021/07/26,#13,17,phase,KEYence 第四世代,4,無,/Day17/#13/#13_0.3-1,17,0
72,2021/07/26,#13,17,phase,KEYence 第四世代,4,無,/Day17/#13/#13_0.3-2,8.3,1
73,2021/07/26,#13,17,phase,KEYence 第四世代,4,無,/Day17/#13/#13_0.5-0.5,4.2,1
74,2021/07/26,#13,17,phase,KEYence 第四世代,4,無,/Day17/#13/#13_0.5-1,18.3,0
75,2021/07/26,#13,17,phase,KEYence 第四世代,4,無,/Day17/#13/#13_0.5-2,18.5,0
40,2021/03/04,#8,20,phase,KEYence 第四世代,4,無,/Day20/#8/#8_0.5A,9,1
41,2021/03/04,#8,20,phase,KEYence 第四世代,4,無,/Day20/#8/#8_1A,5.9,1
42,2021/03/04,#8,20,phase,KEYence 第四世代,4,無,/Day20/#8/#8_2A,13,0
43,2021/03/04,#8,20,phase,KEYence 第四世代,4,無,/Day20/#8/#8_0.5B,8.4,1
44,2021/03/04,#8,20,phase,KEYence 第四世代,4,無,/Day20/#8/#8_1B,11.6,0
45,2021/03/04,#8,20,phase,KEYence 第四世代,4,無,/Day20/#8/#8_2B,11.2,0
47,2021/03/11,#9,20,phase,KEYence 第四世代,4,無,/Day20/#9/#9_1A,9.7,1
48,2021/03/11,#9,20,phase,KEYence 第四世代,4,無,/Day20/#9/#9_2A,26.7,0
50,2021/03/11,#9,20,phase,KEYence 第四世代,4,無,/Day20/#9/#9_1B,14.7,0
51,2021/03/11,#9,20,phase,KEYence 第四世代,4,無,/Day20/#9/#9_2B,17.2,0
52,2021/03/18,#10,20,phase,KEYence 第四世代,4,無,/Day20/#10/#10_0.5A,14.8,0
53,2021/03/18,#10,20,phase,KEYence 第四世代,4,無,/Day20/#10/#10_1A,22.7,0
54,2021/03/18,#10,20,phase,KEYence 第四世代,4,無,/Day20/#10/#10_2A,12.5,0
55,2021/03/18,#10,20,phase,KEYence 第四世代,4,無,/Day20/#10/#10_0.5B,25.3,0
56,2021/03/18,#10,20,phase,KEYence 第四世代,4,無,/Day20/#10/#10_1B,23.6,0
57,2021/03/18,#10,20,phase,KEYence 第四世代,4,無,/Day20/#10/#10_2B,17.9,0
58,2021/03/25,#11,20,phase,KEYence 第四世代,4,無,/Day20/#11/#11_0.5A,12,0
59,2021/03/25,#11,20,phase,KEYence 第四世代,4,無,/Day20/#11/#11_1A,20.5,0
60,2021/03/25,#11,20,phase,KEYence 第四世代,4,無,/Day20/#11/#11_2A,15.9,0
61,2021/03/25,#11,20,phase,KEYence 第四世代,4,無,/Day20/#11/#11_0.5B,18.7,0
62,2021/03/25,#11,20,phase,KEYence 第四世代,4,無,/Day20/#11/#11_1B,22.8,0
63,2021/03/25,#11,20,phase,KEYence 第四世代,4,無,/Day20/#11/#11_2B,13.8,0
64,2021/04/01,#12,20,phase,KEYence 第四世代,4,無,/Day20/#12/#12_0.5A,23.6,0
65,2021/04/01,#12,20,phase,KEYence 第四世代,4,無,/Day20/#12/#12_1A,18.2,0
66,2021/04/01,#12,20,phase,KEYence 第四世代,4,無,/Day20/#12/#12_2A,8.1,1
67,2021/04/01,#12,20,phase,KEYence 第四世代,4,無,/Day20/#12/#12_0.5B,31,0
68,2021/04/01,#12,20,phase,KEYence 第四世代,4,無,/Day20/#12/#12_1B,28,0
69,2021/04/01,#12,20,phase,KEYence 第四世代,4,無,/Day20/#12/#12_2B,7.9,1
70,2021/07/29,#13,20,phase,KEYence 第四世代,4,無,/Day20/#13/#13_0.3-0.5,12.1,0
71,2021/07/29,#13,20,phase,KEYence 第四世代,4,無,/Day20/#13/#13_0.3-1,17,0
72,2021/07/29,#13,20,phase,KEYence 第四世代,4,無,/Day20/#13/#13_0.3-2,8.3,1
73,2021/07/29,#13,20,phase,KEYence 第四世代,4,無,/Day20/#13/#13_0.5-0.5,4.2,1
74,2021/07/29,#13,20,phase,KEYence 第四世代,4,無,/Day20/#13/#13_0.5-1,18.3,0
75,2021/07/29,#13,20,phase,KEYence 第四世代,4,無,/Day20/#13/#13_0.5-2,18.5,0
40,2021/03/08,#8,24,phase,KEYence 第四世代,4,無,/Day24/#8/#8_0.5A,9,1
41,2021/03/08,#8,24,phase,KEYence 第四世代,4,無,/Day24/#8/#8_1A,5.9,1
42,2021/03/08,#8,24,phase,KEYence 第四世代,4,無,/Day24/#8/#8_2A,13,0
43,2021/03/08,#8,24,phase,KEYence 第四世代,4,無,/Day24/#8/#8_0.5B,8.4,1
44,2021/03/08,#8,24,phase,KEYence 第四世代,4,無,/Day24/#8/#8_1B,11.6,0
45,2021/03/08,#8,24,phase,KEYence 第四世代,4,無,/Day24/#8/#8_2B,11.2,0
47,2021/03/15,#9,24,phase,KEYence 第四世代,4,無,/Day24/#9/#9_1A,9.7,1
48,2021/03/15,#9,24,phase,KEYence 第四世代,4,無,/Day24/#9/#9_2A,26.7,0
50,2021/03/15,#9,24,phase,KEYence 第四世代,4,無,/Day24/#9/#9_1B,14.7,0
51,2021/03/15,#9,24,phase,KEYence 第四世代,4,無,/Day24/#9/#9_2B,17.2,0
52,2021/03/22,#10,24,phase,KEYence 第四世代,4,無,/Day24/#10/#10_0.5A,14.8,0
53,2021/03/22,#10,24,phase,KEYence 第四世代,4,無,/Day24/#10/#10_1A,22.7,0
54,2021/03/22,#10,24,phase,KEYence 第四世代,4,無,/Day24/#10/#10_2A,12.5,0
55,2021/03/22,#10,24,phase,KEYence 第四世代,4,無,/Day24/#10/#10_0.5B,25.3,0
56,2021/03/22,#10,24,phase,KEYence 第四世代,4,無,/Day24/#10/#10_1B,23.6,0
57,2021/03/22,#10,24,phase,KEYence 第四世代,4,無,/Day24/#10/#10_2B,17.9,0
58,2021/03/29,#11,24,phase,KEYence 第四世代,4,無,/Day24/#11/#11_0.5A,12,0
59,2021/03/29,#11,24,phase,KEYence 第四世代,4,無,/Day24/#11/#11_1A,20.5,0
60,2021/03/29,#11,24,phase,KEYence 第四世代,4,無,/Day24/#11/#11_2A,15.9,0
61,2021/03/29,#11,24,phase,KEYence 第四世代,4,無,/Day24/#11/#11_0.5B,18.7,0
62,2021/03/29,#11,24,phase,KEYence 第四世代,4,無,/Day24/#11/#11_1B,22.8,0
63,2021/03/29,#11,24,phase,KEYence 第四世代,4,無,/Day24/#11/#11_2B,13.8,0
64,2021/04/05,#12,24,phase,KEYence 第四世代,4,無,/Day24/#12/#12_0.5A,23.6,0
65,2021/04/05,#12,24,phase,KEYence 第四世代,4,無,/Day24/#12/#12_1A,18.2,0
66,2021/04/05,#12,24,phase,KEYence 第四世代,4,無,/Day24/#12/#12_2A,8.1,1
67,2021/04/05,#12,24,phase,KEYence 第四世代,4,無,/Day24/#12/#12_0.5B,31,0
68,2021/04/05,#12,24,phase,KEYence 第四世代,4,無,/Day24/#12/#12_1B,28,0
69,2021/04/05,#12,24,phase,KEYence 第四世代,4,無,/Day24/#12/#12_2B,7.9,1
70,2021/08/02,#13,24,phase,KEYence 第四世代,4,無,/Day24/#13/#13_0.3-0.5,12.1,0
71,2021/08/02,#13,24,phase,KEYence 第四世代,4,無,/Day24/#13/#13_0.3-1,17,0
72,2021/08/02,#13,24,phase,KEYence 第四世代,4,無,/Day24/#13/#13_0.3-2,8.3,1
73,2021/08/02,#13,24,phase,KEYence 第四世代,4,無,/Day24/#13/#13_0.5-0.5,4.2,1
74,2021/08/02,#13,24,phase,KEYence 第四世代,4,無,/Day24/#13/#13_0.5-1,18.3,0
75,2021/08/02,#13,24,phase,KEYence 第四世代,4,無,/Day24/#13/#13_0.5-2,18.5,0
40,2021/02/26,#8,14,phase,KEYence 第四世代,4,無,/Day14/#8/#8_0.5A,9,1
41,2021/02/26,#8,14,phase,KEYence 第四世代,4,無,/Day14/#8/#8_1A,5.9,1
42,2021/02/26,#8,14,phase,KEYence 第四世代,4,無,/Day14/#8/#8_2A,13,0
43,2021/02/26,#8,14,phase,KEYence 第四世代,4,無,/Day14/#8/#8_0.5B,8.4,1
44,2021/02/26,#8,14,phase,KEYence 第四世代,4,無,/Day14/#8/#8_1B,11.6,0
45,2021/02/26,#8,14,phase,KEYence 第四世代,4,無,/Day14/#8/#8_2B,11.2,0
47,2021/03/05,#9,14,phase,KEYence 第四世代,4,無,/Day14/#9/#9_1A,9.7,1
48,2021/03/05,#9,14,phase,KEYence 第四世代,4,無,/Day14/#9/#9_2A,26.7,0
50,2021/03/05,#9,14,phase,KEYence 第四世代,4,無,/Day14/#9/#9_1B,14.7,0
51,2021/03/05,#9,14,phase,KEYence 第四世代,4,無,/Day14/#9/#9_2B,17.2,0
52,2021/03/12,#10,14,phase,KEYence 第四世代,4,無,/Day14/#10/#10_0.5A,14.8,0
53,2021/03/12,#10,14,phase,KEYence 第四世代,4,無,/Day14/#10/#10_1A,22.7,0
54,2021/03/12,#10,14,phase,KEYence 第四世代,4,無,/Day14/#10/#10_2A,12.5,0
55,2021/03/12,#10,14,phase,KEYence 第四世代,4,無,/Day14/#10/#10_0.5B,25.3,0
56,2021/03/12,#10,14,phase,KEYence 第四世代,4,無,/Day14/#10/#10_1B,23.6,0
57,2021/03/12,#10,14,phase,KEYence 第四世代,4,無,/Day14/#10/#10_2B,17.9,0
58,2021/03/19,#11,14,phase,KEYence 第四世代,4,無,/Day14/#11/#11_0.5A,12,0
59,2021/03/19,#11,14,phase,KEYence 第四世代,4,無,/Day14/#11/#11_1A,20.5,0
60,2021/03/19,#11,14,phase,KEYence 第四世代,4,無,/Day14/#11/#11_2A,15.9,0
61,2021/03/19,#11,14,phase,KEYence 第四世代,4,無,/Day14/#11/#11_0.5B,18.7,0
62,2021/03/19,#11,14,phase,KEYence 第四世代,4,無,/Day14/#11/#11_1B,22.8,0
63,2021/03/19,#11,14,phase,KEYence 第四世代,4,無,/Day14/#11/#11_2B,13.8,0
64,2021/03/26,#12,14,phase,KEYence 第四世代,4,無,/Day14/#12/#12_0.5A,23.6,0
65,2021/03/26,#12,14,phase,KEYence 第四世代,4,無,/Day14/#12/#12_1A,18.2,0
66,2021/03/26,#12,14,phase,KEYence 第四世代,4,無,/Day14/#12/#12_2A,8.1,1
67,2021/03/26,#12,14,phase,KEYence 第四世代,4,無,/Day14/#12/#12_0.5B,31,0
68,2021/03/26,#12,14,phase,KEYence 第四世代,4,無,/Day14/#12/#12_1B,28,0
69,2021/03/26,#12,14,phase,KEYence 第四世代,4,無,/Day14/#12/#12_2B,7.9,1
70,2021/07/23,#13,14,phase,KEYence 第四世代,4,無,/Day14/#13/#13_0.3-0.5,12.1,0
